index,ODDO1,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00
17746,-41.44158880000009,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17747,-40.8691589,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17748,-40.29672900000003,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17749,-39.72429910000005,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17750,-39.15186920000008,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17751,-38.57943929999999,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17752,-38.00700930000005,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17753,-37.434579400000075,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17754,-36.86214949999999,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17755,-36.28971960000001,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
